ticker,bics_sector,E_score,S_score,G_score,ESG_score,esg_data_flag,sasb_e_weight,sasb_s_weight,sasb_g_weight,bloomberg_esg_disclosure,sustainalytics_risk_score,tri_sources_available,tri_passes,triangulation_result,carbon_intensity,ci_source,data_vintage
B7A,Financials,100.0,64.27,61.585919476913126,70.21,OK,0.2,0.35,0.45,53.34,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
RTZ,Materials,,,65.34818231220896,63.48,OK,0.5,0.3,0.2,57.56,,2,2,PASS,4285.61,sector_median_imputed,2026-05-14
FG1,Materials,50.78,53.44,75.86214409199462,56.59,OK,0.5,0.3,0.2,68.03,,2,2,PASS,4285.61,sector_median_imputed,2026-05-14
IC1H,Consumer Discretionary,53.23,81.41,86.24673808721829,72.76,OK,0.35,0.4,0.25,56.51,,2,2,PASS,0.0,sector_median_imputed,2026-05-14
UEI,Utilities,99.97,51.57,55.996593283027735,76.88,OK,0.5,0.25,0.25,66.04,,2,2,PASS,629.82,sector_median_imputed,2026-05-14
I7G,Health Care,60.4,54.26,50.05971725815336,54.32,OK,0.25,0.4,0.35,62.84,,2,2,PASS,15.735,sector_median_imputed,2026-05-14
HDB,Financials,0.0,57.58,39.025786828201795,37.71,OK,0.2,0.35,0.45,39.17,,2,0,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
H3M,Materials,70.33,31.01,73.49281924268844,59.17,OK,0.5,0.3,0.2,43.62,,2,1,WATCHLIST,4285.61,sector_median_imputed,2026-05-14
RAW,Financials,70.57,60.85,71.75925925925927,67.7,OK,0.2,0.35,0.45,53.36,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
E4S,Utilities,99.99,10.82,45.95474871229921,64.19,OK,0.5,0.25,0.25,45.6,,2,1,WATCHLIST,629.82,sector_median_imputed,2026-05-14
ARRD,Materials,30.94,50.78,71.76564905161706,45.06,OK,0.5,0.3,0.2,61.73,,2,1,WATCHLIST,4285.61,sector_median_imputed,2026-05-14
GZF,Utilities,44.13,33.2,65.51491393488759,46.74,OK,0.5,0.25,0.25,61.93,,2,1,WATCHLIST,629.82,sector_median_imputed,2026-05-14
D9F2,Utilities,99.23,51.67,87.99149306226272,84.53,OK,0.5,0.25,0.25,62.29,,2,2,PASS,629.82,sector_median_imputed,2026-05-14
B6E,Health Care,100.0,64.0,38.513439400648295,64.08,OK,0.25,0.4,0.35,42.44,,2,1,WATCHLIST,15.735,sector_median_imputed,2026-05-14
OFK,Health Care,74.14,75.41,74.25588108676935,74.69,OK,0.25,0.4,0.35,65.15,,2,2,PASS,23.48,bloomberg_calc,2026-05-14
LRC,Industrials,95.83,47.76,81.1180858104305,76.06,OK,0.45,0.35,0.2,63.79,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
TW11,Materials,98.95,61.69,50.55039168705918,78.09,OK,0.5,0.3,0.2,48.48,,2,1,WATCHLIST,4285.61,sector_median_imputed,2026-05-14
TM2,Financials,99.99,78.68,55.55540636088925,72.54,OK,0.2,0.35,0.45,45.8,,2,1,WATCHLIST,0.35,bloomberg_calc,2026-05-14
IHJN,Financials,50.0,40.36,74.72645412800154,57.75,OK,0.2,0.35,0.45,21.93,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
M6Q,Industrials,72.01,37.91,95.16116949357391,64.71,OK,0.45,0.35,0.2,66.92,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
FTD,Health Care,,,,,LOW_DATA,0.25,0.4,0.35,,,0,0,LOW_DATA,15.735,sector_median_imputed,2026-05-14
48CA,Financials,67.1,69.7,52.55849302685532,61.47,OK,0.2,0.35,0.45,58.14,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
AZZ2,Industrials,50.04,45.13,56.10595363370639,49.53,OK,0.45,0.35,0.2,45.48,,2,0,WATCHLIST,4.87,sector_median_imputed,2026-05-14
AEU,Industrials,67.96,39.71,68.62548926093874,58.21,OK,0.45,0.35,0.2,63.26,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
4AJ0,Health Care,50.11,80.3,50.16680890310326,62.21,OK,0.25,0.4,0.35,49.16,,2,1,WATCHLIST,15.735,sector_median_imputed,2026-05-14
